thisN,thisTrialN,thisRepN,T1w_LIBRE.thisRepN,T1w_LIBRE.thisTrialN,T1w_LIBRE.thisN,T1w_LIBRE.thisIndex,thisRow.t,notes,trail.started,waiting_trigger.started,key_resp.started,fix_desc.started,trail.stopped,key_resp.keys,key_resp.rt,key_resp.duration,start_ET.started,etRecord.started,start_ET.stopped,dots.started,dot_1.started,dot_1.stopped,dot_2.started,dot_2.stopped,dot_3.started,dot_3.stopped,dot_4.started,dot_4.stopped,dot_5.started,dot_5.stopped,dot_6.started,dot_6.stopped,dot_7.started,dot_7.stopped,dot_8.started,dot_8.stopped,dot_9.started,dot_9.stopped,dot_10.started,dot_10.stopped,dots.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
18,0,18,18,0,18,0,199.61557580064982,,,,,,,,,,,,,199.60184810031205,199.61557580064982,200.61557519994676,200.61557519994676,201.6158645004034,201.6158645004034,202.61562400031835,202.61562400031835,203.61603130027652,203.61603130027652,204.6159276003018,204.6159276003018,205.6160797001794,205.6160797001794,206.61574130039662,206.61574130039662,207.61575140058994,207.61575140058994,208.61579110007733,208.61579110007733,209.61567120067775,209.5999838002026,796431,001,2025-04-24_12h38.11.473,fixation_dots_T2weighted,2024.2.1,60.07185807020186,2025-04-24 12h38.19.123734 +0200,
19,0,19,19,0,19,0,209.61567120067775,,,,,,,,,,,,,209.60068299993873,209.61567120067775,210.61558530014008,210.61558530014008,211.61609120015055,211.61609120015055,212.61585689987987,212.61585689987987,213.61566570028663,213.61566570028663,214.6156289000064,214.6156289000064,215.61567200068384,215.61567200068384,216.6158615006134,216.6158615006134,217.61602670047432,217.61602670047432,218.6155908005312,218.6155908005312,219.61545309983194,219.59942319989204,796431,001,2025-04-24_12h38.11.473,fixation_dots_T2weighted,2024.2.1,60.07185807020186,2025-04-24 12h38.19.123734 +0200,
20,0,20,20,0,20,0,219.61545309983194,,,,,,,,,,,,,219.6003181003034,219.61545309983194,220.61573769990355,220.61573769990355,221.6155248004943,221.6155248004943,222.6157654998824,222.6157654998824,223.61637810058892,223.61637810058892,224.61567150056362,224.61567150056362,225.6157892998308,225.6157892998308,226.615817300044,226.615817300044,227.61607830040157,227.61607830040157,228.6155723007396,228.6155723007396,229.6157872006297,229.59996220003814,796431,001,2025-04-24_12h38.11.473,fixation_dots_T2weighted,2024.2.1,60.07185807020186,2025-04-24 12h38.19.123734 +0200,
21,0,21,21,0,21,0,229.6157872006297,,,,,,,,,,,,,229.60128980036825,229.6157872006297,230.6159041998908,230.6159041998908,231.61569070070982,231.61569070070982,232.61556959990412,232.61556959990412,233.61574510019273,233.61574510019273,234.6156982006505,234.6156982006505,235.61576240044087,235.61576240044087,236.61562350019813,236.61562350019813,237.61553699988872,237.61553699988872,238.61565080005676,238.61565080005676,239.61563270073384,239.59952270053327,796431,001,2025-04-24_12h38.11.473,fixation_dots_T2weighted,2024.2.1,60.07185807020186,2025-04-24 12h38.19.123734 +0200,
22,0,22,22,0,22,0,239.61563270073384,,,,,,,,,,,,,239.60024670045823,239.61563270073384,240.61575350072235,240.61575350072235,241.61556879989803,241.61556879989803,242.61552469991148,242.61552469991148,243.61590790003538,243.61590790003538,244.61570490058511,244.61570490058511,245.6155753005296,245.6155753005296,246.61563330050558,246.61563330050558,247.6156873004511,247.6156873004511,248.61552290059626,248.61552290059626,249.61564270034432,249.60026660002768,796431,001,2025-04-24_12h38.11.473,fixation_dots_T2weighted,2024.2.1,60.07185807020186,2025-04-24 12h38.19.123734 +0200,
23,0,23,23,0,23,0,249.61564270034432,,,,,,,,,,,,,249.6013339003548,249.61564270034432,250.615638400428,250.615638400428,251.61544460058212,251.61544460058212,252.61548539996147,252.61548539996147,253.61557340063155,253.61557340063155,254.61567040067166,254.61567040067166,255.6156852003187,255.6156852003187,256.6155269006267,256.6155269006267,257.6157324006781,257.6157324006781,258.6156013002619,258.6156013002619,259.6156778000295,259.59990780055523,796431,001,2025-04-24_12h38.11.473,fixation_dots_T2weighted,2024.2.1,60.07185807020186,2025-04-24 12h38.19.123734 +0200,
24,0,24,24,0,24,0,259.6156778000295,,,,,,,,,,,,,259.60037630051374,259.6156778000295,260.61566040012985,260.61566040012985,261.61544760037214,261.61544760037214,262.61578190047294,262.61578190047294,263.6157570006326,263.6157570006326,264.6156438998878,264.6156438998878,265.6158239003271,265.6158239003271,266.61572250071913,266.61572250071913,267.6154717998579,267.6154717998579,268.61550690047443,268.61550690047443,269.61559220030904,269.6002298006788,796431,001,2025-04-24_12h38.11.473,fixation_dots_T2weighted,2024.2.1,60.07185807020186,2025-04-24 12h38.19.123734 +0200,
25,0,25,25,0,25,0,269.61559220030904,,,,,,,,,,,,,269.601250000298,269.61559220030904,270.61568750068545,270.61568750068545,271.61543679982424,271.61543679982424,272.6154741002247,272.6154741002247,273.61562070064247,273.61562070064247,274.6157584004104,274.6157584004104,275.6159914005548,275.6159914005548,276.61548990011215,276.61548990011215,277.61559309996665,277.61559309996665,278.61599049996585,278.61599049996585,279.6154971998185,279.6003921004012,796431,001,2025-04-24_12h38.11.473,fixation_dots_T2weighted,2024.2.1,60.07185807020186,2025-04-24 12h38.19.123734 +0200,
26,0,26,26,0,26,0,279.6154971998185,,,,,,,,,,,,,279.6010814998299,279.6154971998185,280.6156744007021,280.6156744007021,281.61572920065373,281.61572920065373,282.6157165002078,282.6157165002078,283.6154494006187,283.6154494006187,284.6155016999692,284.6155016999692,285.6158172003925,285.6158172003925,286.61542689986527,286.61542689986527,287.61559069994837,287.61559069994837,288.6154947001487,288.6154947001487,289.61590850073844,289.60031529981643,796431,001,2025-04-24_12h38.11.473,fixation_dots_T2weighted,2024.2.1,60.07185807020186,2025-04-24 12h38.19.123734 +0200,
27,0,27,27,0,27,0,289.61590850073844,,,,,,,,,,,,,289.60102399997413,289.61590850073844,290.61587550025433,290.61587550025433,291.6156939007342,291.6156939007342,292.6155710006133,292.6155710006133,293.61554460041225,293.61554460041225,294.6154709002003,294.6154709002003,295.6157755004242,295.6157755004242,296.6156029999256,296.6156029999256,297.6154992002994,297.6154992002994,298.6154049001634,298.6154049001634,299.61577779985964,299.600176400505,796431,001,2025-04-24_12h38.11.473,fixation_dots_T2weighted,2024.2.1,60.07185807020186,2025-04-24 12h38.19.123734 +0200,
