18.3525 	EXP 	fix_desc: autoDraw = True
26.7319 	EXP 	eyetracker.setRecordingState(True)
26.7340 	EXP 	New trial (rep=0, index=0): <Trial 0 (0 in rep 0) data={'thisN': 0, 'thisTrialN': 0, 'thisRepN': 0}>
26.7367 	DATA 	Keypress: s
26.7497 	EXP 	waiting_trigger: autoDraw = False
26.7497 	EXP 	fix_desc: autoDraw = False
26.7497 	EXP 	dot_2: borderColor = <psychopy.colors.Color: (-1.0, -1.0, 0.09, 1.0)>
26.7497 	EXP 	dot_1: autoDraw = True
27.7338 	EXP 	dot_2: autoDraw = True
27.7506 	EXP 	dot_1: autoDraw = False
28.7347 	EXP 	dot_2: autoDraw = False
28.7347 	EXP 	dot_3: autoDraw = True
29.7343 	EXP 	dot_3: autoDraw = False
29.7343 	EXP 	dot_4: autoDraw = True
30.7340 	EXP 	dot_4: autoDraw = False
30.7340 	EXP 	dot_5: autoDraw = True
31.7342 	EXP 	dot_5: autoDraw = False
31.7342 	EXP 	dot_6: autoDraw = True
32.7340 	EXP 	dot_6: autoDraw = False
32.7340 	EXP 	dot_7: autoDraw = True
33.7344 	EXP 	dot_7: autoDraw = False
33.7344 	EXP 	dot_8: autoDraw = True
34.7339 	EXP 	dot_8: autoDraw = False
34.7339 	EXP 	dot_9: autoDraw = True
35.7340 	EXP 	dot_9: autoDraw = False
35.7340 	EXP 	dot_10: autoDraw = True
36.7187 	EXP 	New trial (rep=1, index=0): <Trial 1 (0 in rep 1) data={'thisN': 1, 'thisTrialN': 0, 'thisRepN': 1}>
36.7335 	EXP 	dot_10: autoDraw = False
36.7335 	EXP 	dot_1: autoDraw = False
36.7335 	EXP 	dot_2: autoDraw = False
36.7335 	EXP 	dot_3: autoDraw = False
36.7335 	EXP 	dot_4: autoDraw = False
36.7335 	EXP 	dot_5: autoDraw = False
36.7335 	EXP 	dot_6: autoDraw = False
36.7335 	EXP 	dot_7: autoDraw = False
36.7335 	EXP 	dot_8: autoDraw = False
36.7335 	EXP 	dot_9: autoDraw = False
36.7335 	EXP 	dot_10: autoDraw = False
36.7335 	EXP 	dot_2: borderColor = <psychopy.colors.Color: (-1.0, -1.0, 0.09, 1.0)>
36.7335 	EXP 	dot_1: autoDraw = True
37.7342 	EXP 	dot_1: autoDraw = False
37.7342 	EXP 	dot_2: autoDraw = True
38.7337 	EXP 	dot_2: autoDraw = False
38.7337 	EXP 	dot_3: autoDraw = True
39.7339 	EXP 	dot_3: autoDraw = False
39.7339 	EXP 	dot_4: autoDraw = True
40.7341 	EXP 	dot_4: autoDraw = False
40.7341 	EXP 	dot_5: autoDraw = True
41.7338 	EXP 	dot_5: autoDraw = False
41.7338 	EXP 	dot_6: autoDraw = True
42.7341 	EXP 	dot_6: autoDraw = False
42.7341 	EXP 	dot_7: autoDraw = True
43.7338 	EXP 	dot_7: autoDraw = False
43.7338 	EXP 	dot_8: autoDraw = True
44.7340 	EXP 	dot_8: autoDraw = False
44.7340 	EXP 	dot_9: autoDraw = True
45.7339 	EXP 	dot_9: autoDraw = False
45.7339 	EXP 	dot_10: autoDraw = True
46.7188 	EXP 	New trial (rep=2, index=0): <Trial 2 (0 in rep 2) data={'thisN': 2, 'thisTrialN': 0, 'thisRepN': 2}>
46.7340 	EXP 	dot_10: autoDraw = False
46.7340 	EXP 	dot_1: autoDraw = False
46.7340 	EXP 	dot_2: autoDraw = False
46.7340 	EXP 	dot_3: autoDraw = False
46.7340 	EXP 	dot_4: autoDraw = False
46.7340 	EXP 	dot_5: autoDraw = False
46.7340 	EXP 	dot_6: autoDraw = False
46.7340 	EXP 	dot_7: autoDraw = False
46.7340 	EXP 	dot_8: autoDraw = False
46.7340 	EXP 	dot_9: autoDraw = False
46.7340 	EXP 	dot_10: autoDraw = False
46.7340 	EXP 	dot_2: borderColor = <psychopy.colors.Color: (-1.0, -1.0, 0.09, 1.0)>
46.7340 	EXP 	dot_1: autoDraw = True
47.7335 	EXP 	dot_1: autoDraw = False
47.7335 	EXP 	dot_2: autoDraw = True
48.7334 	EXP 	dot_2: autoDraw = False
48.7334 	EXP 	dot_3: autoDraw = True
