599.8848 	EXP 	dot_10: autoDraw = False
599.8848 	EXP 	dot_1: autoDraw = False
599.8848 	EXP 	dot_2: autoDraw = False
599.8848 	EXP 	dot_3: autoDraw = False
599.8848 	EXP 	dot_4: autoDraw = False
599.8848 	EXP 	dot_5: autoDraw = False
599.8848 	EXP 	dot_6: autoDraw = False
599.8848 	EXP 	dot_7: autoDraw = False
599.8848 	EXP 	dot_8: autoDraw = False
599.8848 	EXP 	dot_9: autoDraw = False
599.8848 	EXP 	dot_10: autoDraw = False
599.8848 	EXP 	dot_2: borderColor = <psychopy.colors.Color: (-1.0, -1.0, 0.09, 1.0)>
599.8848 	EXP 	dot_1: autoDraw = True
600.8847 	EXP 	dot_1: autoDraw = False
600.8847 	EXP 	dot_2: autoDraw = True
601.8847 	EXP 	dot_2: autoDraw = False
601.8847 	EXP 	dot_3: autoDraw = True
601.9028 	DATA 	Keypress: s
602.8847 	EXP 	dot_3: autoDraw = False
602.8847 	EXP 	dot_4: autoDraw = True
603.8852 	EXP 	dot_4: autoDraw = False
603.8852 	EXP 	dot_5: autoDraw = True
604.4020 	DATA 	Keypress: s
604.8847 	EXP 	dot_5: autoDraw = False
604.8847 	EXP 	dot_6: autoDraw = True
605.8848 	EXP 	dot_6: autoDraw = False
605.8848 	EXP 	dot_7: autoDraw = True
606.8847 	EXP 	dot_7: autoDraw = False
606.8847 	EXP 	dot_8: autoDraw = True
606.9018 	DATA 	Keypress: s
607.8847 	EXP 	dot_8: autoDraw = False
607.8847 	EXP 	dot_9: autoDraw = True
608.8846 	EXP 	dot_9: autoDraw = False
608.8846 	EXP 	dot_10: autoDraw = True
609.4022 	DATA 	Keypress: s
609.8694 	EXP 	New trial (rep=3, index=0): <Trial 3 (0 in rep 3) data={'thisN': 3, 'thisTrialN': 0, 'thisRepN': 3}>
609.8848 	EXP 	dot_10: autoDraw = False
609.8848 	EXP 	dot_1: autoDraw = False
609.8848 	EXP 	dot_2: autoDraw = False
609.8848 	EXP 	dot_3: autoDraw = False
609.8848 	EXP 	dot_4: autoDraw = False
609.8848 	EXP 	dot_5: autoDraw = False
609.8848 	EXP 	dot_6: autoDraw = False
609.8848 	EXP 	dot_7: autoDraw = False
609.8848 	EXP 	dot_8: autoDraw = False
609.8848 	EXP 	dot_9: autoDraw = False
609.8848 	EXP 	dot_10: autoDraw = False
609.8848 	EXP 	dot_2: borderColor = <psychopy.colors.Color: (-1.0, -1.0, 0.09, 1.0)>
609.8848 	EXP 	dot_1: autoDraw = True
610.8843 	EXP 	dot_1: autoDraw = False
610.8843 	EXP 	dot_2: autoDraw = True
611.8849 	EXP 	dot_2: autoDraw = False
611.8849 	EXP 	dot_3: autoDraw = True
611.9021 	DATA 	Keypress: s
612.8844 	EXP 	dot_3: autoDraw = False
612.8844 	EXP 	dot_4: autoDraw = True
613.8844 	EXP 	dot_4: autoDraw = False
613.8844 	EXP 	dot_5: autoDraw = True
614.4019 	DATA 	Keypress: s
614.8845 	EXP 	dot_5: autoDraw = False
614.8845 	EXP 	dot_6: autoDraw = True
615.8845 	EXP 	dot_6: autoDraw = False
615.8845 	EXP 	dot_7: autoDraw = True
616.8843 	EXP 	dot_7: autoDraw = False
616.8843 	EXP 	dot_8: autoDraw = True
616.9190 	DATA 	Keypress: s
617.8843 	EXP 	dot_8: autoDraw = False
617.8843 	EXP 	dot_9: autoDraw = True
618.8846 	EXP 	dot_9: autoDraw = False
618.8846 	EXP 	dot_10: autoDraw = True
619.4190 	DATA 	Keypress: s
619.8681 	EXP 	New trial (rep=4, index=0): <Trial 4 (0 in rep 4) data={'thisN': 4, 'thisTrialN': 0, 'thisRepN': 4}>
619.8841 	EXP 	dot_10: autoDraw = False
619.8841 	EXP 	dot_1: autoDraw = False
619.8841 	EXP 	dot_2: autoDraw = False
619.8841 	EXP 	dot_3: autoDraw = False
619.8841 	EXP 	dot_4: autoDraw = False
619.8841 	EXP 	dot_5: autoDraw = False
619.8841 	EXP 	dot_6: autoDraw = False
619.8841 	EXP 	dot_7: autoDraw = False
619.8841 	EXP 	dot_8: autoDraw = False
619.8841 	EXP 	dot_9: autoDraw = False
619.8841 	EXP 	dot_10: autoDraw = False
619.8841 	EXP 	dot_2: borderColor = <psychopy.colors.Color: (-1.0, -1.0, 0.09, 1.0)>
619.8841 	EXP 	dot_1: autoDraw = True
620.8848 	EXP 	dot_1: autoDraw = False
620.8848 	EXP 	dot_2: autoDraw = True
621.8842 	EXP 	dot_2: autoDraw = False
621.8842 	EXP 	dot_3: autoDraw = True
621.9189 	DATA 	Keypress: s
622.8842 	EXP 	dot_3: autoDraw = False
622.8842 	EXP 	dot_4: autoDraw = True
623.8851 	EXP 	dot_4: autoDraw = False
623.8851 	EXP 	dot_5: autoDraw = True
624.4189 	DATA 	Keypress: s
624.8844 	EXP 	dot_5: autoDraw = False
624.8844 	EXP 	dot_6: autoDraw = True
625.8843 	EXP 	dot_6: autoDraw = False
625.8843 	EXP 	dot_7: autoDraw = True
626.8841 	EXP 	dot_7: autoDraw = False
626.8841 	EXP 	dot_8: autoDraw = True
626.9185 	DATA 	Keypress: s
627.8840 	EXP 	dot_8: autoDraw = False
627.8840 	EXP 	dot_9: autoDraw = True
628.8844 	EXP 	dot_9: autoDraw = False
628.8844 	EXP 	dot_10: autoDraw = True
629.4183 	DATA 	Keypress: s
629.8684 	EXP 	New trial (rep=5, index=0): <Trial 5 (0 in rep 5) data={'thisN': 5, 'thisTrialN': 0, 'thisRepN': 5}>
629.8839 	EXP 	dot_10: autoDraw = False
629.8839 	EXP 	dot_1: autoDraw = False
629.8839 	EXP 	dot_2: autoDraw = False
629.8839 	EXP 	dot_3: autoDraw = False
629.8839 	EXP 	dot_4: autoDraw = False
629.8839 	EXP 	dot_5: autoDraw = False
629.8839 	EXP 	dot_6: autoDraw = False
629.8839 	EXP 	dot_7: autoDraw = False
629.8839 	EXP 	dot_8: autoDraw = False
629.8839 	EXP 	dot_9: autoDraw = False
629.8839 	EXP 	dot_10: autoDraw = False
629.8839 	EXP 	dot_2: borderColor = <psychopy.colors.Color: (-1.0, -1.0, 0.09, 1.0)>
629.8839 	EXP 	dot_1: autoDraw = True
630.8842 	EXP 	dot_1: autoDraw = False
630.8842 	EXP 	dot_2: autoDraw = True
631.8840 	EXP 	dot_2: autoDraw = False
631.8840 	EXP 	dot_3: autoDraw = True
631.9347 	DATA 	Keypress: s
632.8847 	EXP 	dot_3: autoDraw = False
632.8847 	EXP 	dot_4: autoDraw = True
633.8841 	EXP 	dot_4: autoDraw = False
633.8841 	EXP 	dot_5: autoDraw = True
634.4194 	DATA 	Keypress: s
634.8838 	EXP 	dot_5: autoDraw = False
634.8838 	EXP 	dot_6: autoDraw = True
635.8836 	EXP 	dot_6: autoDraw = False
635.8836 	EXP 	dot_7: autoDraw = True
636.8841 	EXP 	dot_7: autoDraw = False
636.8841 	EXP 	dot_8: autoDraw = True
636.9347 	DATA 	Keypress: s
637.8840 	EXP 	dot_8: autoDraw = False
637.8840 	EXP 	dot_9: autoDraw = True
638.8839 	EXP 	dot_9: autoDraw = False
638.8839 	EXP 	dot_10: autoDraw = True
639.4239 	DATA 	Keypress: s
639.8674 	EXP 	New trial (rep=6, index=0): <Trial 6 (0 in rep 6) data={'thisN': 6, 'thisTrialN': 0, 'thisRepN': 6}>
639.8841 	EXP 	dot_10: autoDraw = False
639.8841 	EXP 	dot_1: autoDraw = False
639.8841 	EXP 	dot_2: autoDraw = False
639.8841 	EXP 	dot_3: autoDraw = False
639.8841 	EXP 	dot_4: autoDraw = False
639.8841 	EXP 	dot_5: autoDraw = False
639.8841 	EXP 	dot_6: autoDraw = False
639.8841 	EXP 	dot_7: autoDraw = False
639.8841 	EXP 	dot_8: autoDraw = False
639.8841 	EXP 	dot_9: autoDraw = False
639.8841 	EXP 	dot_10: autoDraw = False
639.8841 	EXP 	dot_2: borderColor = <psychopy.colors.Color: (-1.0, -1.0, 0.09, 1.0)>
639.8841 	EXP 	dot_1: autoDraw = True
640.8842 	EXP 	dot_1: autoDraw = False
640.8842 	EXP 	dot_2: autoDraw = True
641.8841 	EXP 	dot_2: autoDraw = False
641.8841 	EXP 	dot_3: autoDraw = True
641.9345 	DATA 	Keypress: s
642.8835 	EXP 	dot_3: autoDraw = False
642.8835 	EXP 	dot_4: autoDraw = True
643.8835 	EXP 	dot_4: autoDraw = False
643.8835 	EXP 	dot_5: autoDraw = True
644.4346 	DATA 	Keypress: s
644.8842 	EXP 	dot_5: autoDraw = False
644.8842 	EXP 	dot_6: autoDraw = True
645.8842 	EXP 	dot_6: autoDraw = False
645.8842 	EXP 	dot_7: autoDraw = True
646.8839 	EXP 	dot_7: autoDraw = False
646.8839 	EXP 	dot_8: autoDraw = True
646.9343 	DATA 	Keypress: s
647.8836 	EXP 	dot_8: autoDraw = False
647.8836 	EXP 	dot_9: autoDraw = True
648.8835 	EXP 	dot_9: autoDraw = False
648.8835 	EXP 	dot_10: autoDraw = True
649.4513 	DATA 	Keypress: s
649.8673 	EXP 	New trial (rep=7, index=0): <Trial 7 (0 in rep 7) data={'thisN': 7, 'thisTrialN': 0, 'thisRepN': 7}>
649.8837 	EXP 	dot_10: autoDraw = False
649.8837 	EXP 	dot_1: autoDraw = False
649.8837 	EXP 	dot_2: autoDraw = False
649.8837 	EXP 	dot_3: autoDraw = False
649.8837 	EXP 	dot_4: autoDraw = False
649.8837 	EXP 	dot_5: autoDraw = False
649.8837 	EXP 	dot_6: autoDraw = False
649.8837 	EXP 	dot_7: autoDraw = False
649.8837 	EXP 	dot_8: autoDraw = False
649.8837 	EXP 	dot_9: autoDraw = False
649.8837 	EXP 	dot_10: autoDraw = False
649.8837 	EXP 	dot_2: borderColor = <psychopy.colors.Color: (-1.0, -1.0, 0.09, 1.0)>
649.8837 	EXP 	dot_1: autoDraw = True
650.8839 	EXP 	dot_1: autoDraw = False
650.8839 	EXP 	dot_2: autoDraw = True
651.8835 	EXP 	dot_2: autoDraw = False
651.8835 	EXP 	dot_3: autoDraw = True
651.9361 	DATA 	Keypress: s
652.8837 	EXP 	dot_3: autoDraw = False
